ko_ingredient,en_ingredient,use,score
하이드롤라이즈드녹차씨추출물,Hydrolyzed Camellia Sinensis Seed Extract,"산화방지제, 피부컨디셔닝제(기타), 피부보호제",
녹차꽃추출물,Camellia Sinensis Flower Extract,피부컨디셔닝제(기타),
하이드롤라이즈드녹차,Hydrolyzed Camellia Sinensis Leaf,피부컨디셔닝제(보습제),
녹차씨오일/팜오일아미노프로판다이올에스터,Camellia Sinensis Seed Oil/Palm Oil Aminopropanediol Esters,피부컨디셔닝제(기타),
테아닌,Theanine,"피부유연화제, 피부보습제",1.0
머스크씨드씨추출물,Hibiscus Abelmoschus Seed Extract,"착향제, 피부컨디셔닝제(기타)",
대추추출물,Ziziphus Jujuba Fruit Extract,피부컨디셔닝제(기타),
바위돌꽃뿌리추출물,Rhodiola Rosea Root Extract,"피부유연화제, 피부보호제",
송이버섯추출물,Tricholoma Matsutake Extract,피부컨디셔닝제(기타),1.0
클로브꽃추출물,Eugenia Caryophyllus (Clove) Flower Extract,향료,4.0
하이드롤라이즈드왕대,Hydrolyzed Phyllostachys Bambusoides,피부컨디셔닝제(보습제),
호밀추출물,Secale Cereale (Rye) Seed Extract,피부컨디셔닝제(기타),1.0
회향씨추출물,Foeniculum Vulgare (Fennel) Seed Extract,"산화방지제, 피부컨디셔닝제(기타), 피부보호제",1.0
요엽후박나무껍질추출물,Magnolia Officinalis Bark Extract,피부컨디셔닝제(기타),1.0
흰무늬엉겅퀴열매추출물,Silybum Marianum Fruit Extract,"산화방지제, 피부컨디셔닝제(기타)",
헤스페레틴,Hesperetin,"산화방지제, 피부보호제",
캠페롤,Kaempferol,"산화방지제, 피부보호제, 피부컨디셔닝제(유연제)",1.0
소듐스테아로일락틸레이트,Sodium Stearoyl Lactylate,계면활성제-유화제,1.0
소이스테롤아세테이트,Soy Sterol Acetate,수분증발차단제,
토코페솔란,Tocophersolan,산화방지제,1.0
폴록사머235,Poloxamer 235,"계면활성제(세정제), 계면활성제(용해보조제)",2.0
폴록사머338,Poloxamer 338,계면활성제(세정제),2.0
폴리글리세릴-10펜타스테아레이트,Polyglyceryl-10 Pentastearate,"피부유연화제, 계면활성제-유화제",1.0
폴리글리세릴-8스테아레이트,Polyglyceryl-8 Stearate,"피부컨디셔닝제, 계면활성제-유화제",
피이지-5레이프씨드스테롤,PEG-5 Rapeseed Sterol,"계면활성제-세정제, 계면활성제-용해보조제",3.0
돌콩피토플라센타추출물,Glycine Soja (Soybean) Phytoplacenta Extract,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",1.0
인삼캘러스배양추출물,Panax Ginseng Callus Culture Extract,피부컨디셔닝제(기타),
하이드롤라이즈드호밀피토플라센타추출물,Hydrolyzed Rye Phytoplacenta Extract,"보습제, 피부보호제, 피부컨디셔닝제(기타)",
피토스테롤,Phytosterols,피부컨디셔닝제,1.0
글루타민,Glutamine,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",1.0
진세노사이드,Ginsenosides,"산화방지제, 피부보호제, 피부컨디셔닝제(기타)",
백금콜로이드,Colloidal Platinum,산화방지제,
당근씨오일,Daucus Carota Sativa (Carrot) Seed Oil,"착향제, 피부컨디셔닝제(기타)",1.0
솔베스-30테트라올리에이트,Sorbeth-30 Tetraoleate,계면활성제(유화제),1.0
피이지-5글리세릴트라이아이소스테아레이트,PEG-5 Glyceryl Triisostearate,"피부컨디셔닝제(유연제), 계면활성제(유화제)",3.0
스위트아몬드단백질,Prunus Amygdalus Dulcis (Sweet Almond) Protein,"모발컨디셔닝제, 피부컨디셔닝제",1.0
토마토추출물,Solanum Lycopersicum (Tomato) Fruit Extract;Lycopersicon Esculentum Fruit Extract,산화방지제,
프리클리페어열매추출물,Opuntia Tuna Fruit Extract,피부컨디셔닝제(기타),1.0
맥아추출물,Malt Extract,"피부컨디셔닝제, 피부보호제",1.0
피이지-11메틸에터다이메티콘,PEG-11 Methyl Ether Dimethicone,"헤어컨디셔닝제, 피부컨디셔닝제(기타), 계면활성제(유화제)",3.0
하이드로제네이티드라놀린,Hydrogenated Lanolin,"착향제, 헤어컨디셔닝제. 피부컨디셔닝제(수분차단제)",1.0
스테아레스-25,Steareth-25,"계면활성제-세정제, 계면활성제-용해보조제",1.0
자일리틸글루코사이드,Xylitylglucoside,피부컨디셔닝제(보습제),1.0
안하이드로자일리톨,Anhydroxylitol,피부컨디셔닝제(보습제),1.0
뷰글추출물,Ajuga Turkestanica Extract,,1.0
솔베스-30테트라아이소스테아레이트,Sorbeth-30 Tetraisostearate,계면활성제(유화제),1.0
테트라하이드록시프로필에틸렌다이아민,Tetrahydroxypropyl Ethylenediamine,금속이온봉쇄제,1.0
티트리추출물,Melaleuca Alternifolia (Tea Tree) Extract,피부컨디셔닝제,1.0
삼씨오일,Cannabis Sativa Seed Oil;Cannabis Sativa (Hemp) Seed Oil,피부컨디셔닝제(기타),
비누기제,Sekken Soji,,
감자전분,Solanum Tuberosum (Potato) Starch,"흡수제, 결합제, 벌킹제(증량제), 점도증가제(수성)",1.0
다이소듐라우로일글루타메이트,Disodium Lauroyl Glutamate,"헤어컨디셔닝제, 피부컨디셔닝제(기타), 계면활성제(세정제)",1.0
하이드롤라이즈드알부민,Hydrolyzed Albumen,피부컨디셔닝제,
플라센타단백질,Placental Protein,"모발컨디셔닝제, 피부컨디셔닝제",5.0
흑당밀가루,Black Strap Powder,보습제,
효모발효추출물,Yeast Ferment Extract,피부컨디셔닝제(기타),1.0
포타슘라우레이트,Potassium Laurate,"계면활성제-세정제, 계면활성제-유화제",1.0
쇠뜨기잎추출물,Equisetum Arvense Leaf Extract,피부컨디셔닝제(기타),
쐐기풀잎추출물,Urtica Dioica (Nettle) Leaf Extract,피부컨디셔닝제,1.0
연꽃뿌리추출물,Nelumbo Nucifera Root Extract,피부컨디셔닝제(기타),
와일드제라늄오일,Geranium Maculatum Oil,착향제,
고량강추출물,Alpinia Officinarum Root Extract,피부컨디셔닝제(기타),
갈대추출물,Phragmites Communis Extract,피부컨디셔닝제(기타),1.0
소듐하이알루로네이트크로스폴리머,Sodium Hyaluronate Crosspolymer,"피부보습제, 피부컨디셔닝제",1.0
올리브껍질오일,Olea Europaea (Olive) Husk Oil,피부컨디셔닝제(수분차단제),1.0
천문동추출물,Asparagus Cochinchinensis Extract,피부보호제,
관동화꽃추출물,Tussilago Farfara (Coltsfoot) Flower Extract,피부컨디셔닝제(기타),1.0
소듐카복시메틸덱스트란,Sodium Carboxymethyl Dextran,"결합제, 유화안정제, 점도증가제(수성)",1.0
10-하이드록시데카노익애씨드,10-Hydroxydecanoic Acid,피부컨디셔닝제(수분차단제),1.0
세바식애씨드,Sebacic Acid,pH 조정제,1.0
포타슘C12-13알킬포스페이트,Potassium C12-13 Alkyl Phosphate,계면활성제(세정제),1.0
소듐코코일글라이시네이트,Sodium Cocoyl Glycinate,"헤어컨디셔닝제, 피부컨디셔닝제(기타), 계면활성제(세정제)",1.0
소듐코코-설페이트,Sodium Coco-Sulfate,계면활성제-세정제,2.0
글라이콜다이스테아레이트,Glycol Distearate,"피부컨디셔닝제(수분차단제), 점도증가제(비수성)",1.0
글리세릴라우레이트,Glyceryl Laurate,"피부컨디셔닝제(유연제), 계면활성제(유화제)",3.0
코카마이드미파,Cocamide MIPA,"계면활성제-거품형성제, 점증제-수용성",1.0
다이소듐라우레스설포석시네이트,Disodium Laureth Sulfosuccinate,"계면활성제(세정제), 계면활성제(거품촉진제), 계면활성제(친수제)",2.0
코코넛알코올,Coconut Alcohol,"유화안정제, 계면활성제-거품형성제, 점증제-수용성, 점증제-비수용성",1.0
숙근안개초뿌리추출물,Gypsophila Paniculata Root Extract,피부컨디셔닝제(기타),1.0
유럽개미자리추출물,Spergularia Rubra Extract,피부컨디셔닝제(기타),1.0
메칠클로로이소치아졸리논,Methylchloroisothiazolinone,보존제,5.0
브로콜리추출물,Brassica Oleracea Italica (Broccoli) Extract,수렴제,1.0
아스파라거스줄기추출물,Asparagus Officinalis Stem Extract,피부컨디셔닝제(기타),
셀러리추출물,Apium Graveolens (Celery) Extract,피부컨디셔닝제(기타),
시금치추출물,Spinacia Oleracea (Spinach) Leaf Extract,피부컨디셔닝제(기타),1.0
자주개자리추출물,Medicago Sativa (Alfalfa) Extract,향료,1.0
포타슘알지네이트,Potassium Alginate,"결합제, 유화안정제, 점증제-수용성",1.0
마데카소사이드,Madecassoside,"산화방지제, 피부보호제, 피부컨디셔닝제(기타)",1.0
검은귀리추출물,Avena Strigosa Seed Extract,피부컨디셔닝제(기타),1.0
트라이데세스-6,Trideceth-6,계면활성제(유화제),1.0
유럽개암씨오일,Corylus Avellana (Hazelnut) Seed Oil,착향제,
광곽향오일,Pogostemon Cablin Oil,착향제,
덴드로븀 팔라에노프시스꽃추출물,Dendrobium Phalaenopsis Flower Extract,피부컨디셔닝제(기타),1.0
라놀린알코올,Lanolin Alcohol,"결합제, 유화안정제, 헤어컨디셔닝제, 점도증가제(비수성)",2.0
코코-베타인,Coco-Betaine,"정전기방지제, 모발컨디셔닝제, 피부컨디셔닝제, 계면활성제-세정제, 계면활성제-거품형성제, 점증제-수용성",1.0
피이지-120메틸글루코스디올리에이트,PEG-120 Methyl Glucose Dioleate,계면활성제(세정제),3.0
솔레이롤리아 솔레이롤리이추출물,Soleirolia Soleirolii Extract,"산화방지제, 수렴제, 피부보호제, 피부컨디셔닝제(유연제)",
마조람잎추출물,Origanum Majorana Leaf Extract,"착향제, 피부컨디셔닝제(기타)",
피토스테릴올리에이트,Phytosteryl Oleate,"모발컨디셔닝제, 피부컨디셔닝제",1.0
비파나무잎추출물,Eriobotrya Japonica Leaf Extract,피부컨디셔닝제(기타),1.0
버지니아풍년화껍질/잎/잔가지추출물,Hamamelis Virginiana (Witch Hazel) Bark/Leaf/Twig Extract,"수렴제, 피부컨디셔닝제(기타)",
미로탐누스 플라벨리폴리아캘러스배양추출물,Myrothamnus Flabellifolia Callus Culture Extract,"산화방지제, 헤어컨디셔닝제, 피부보호제, 피부컨디셔닝제(보습제)",
접시꽃추출물,Althaea Rosea Flower Extract,피부컨디셔닝제(기타),1.0
다마스크장미캘러스배양추출물,Rosa Damascena Callus Culture Extract,"산화방지제, 헤어컨디셔닝제, 피부보호제, 피부컨디셔닝제(보습제)",
포트마리골드꽃오일,Calendula Officinalis Flower Oil,"착향제, 피부컨디셔닝제(기타)",
콜레스테릴하이드록시스테아레이트,Cholesteryl Hydroxystearate,"피부컨디셔닝제, 점증제-비수용성",1.0
아세틸글루타민,Acetyl Glutamine,피부컨디셔닝제,1.0
아세틸다이펩타이드-1세틸에스터,Acetyl Dipeptide-1 Cetyl Ester,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
하이드롤라이즈드완두콩단백질,Hydrolyzed Pea Protein,"헤어컨디셔닝제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(기타)",1.0
아틀라스시다나무껍질오일,Cedrus Atlantica Bark Oil,"착향제, 피부컨디셔닝제(기타)",
커먼자스민오일,Jasminum Officinale (Jasmine) Oil,착향제,5.0
마텔오일,Myrtus Communis Oil,"착향제, 피부컨디셔닝제(기타)",
갈바눔수지오일,Ferula Galbaniflua (Galbanum) Resin Oil,"착향제, 피부컨디셔닝제(기타)",
발삼코파이바수지,Copaifera Officinalis (Balsam Copaiba) Resin,"피막형성제, 착향제",1.0
바실러스/폴릭애씨드/돌콩발효추출물,Bacillus/Folic Acid/Soybean Ferment Extract,피부컨디셔닝제(기타),
마돈나백합꽃수,Lilium Candidum Flower Water,피부컨디셔닝제(유연제),1.0
아이리쉬모스가루,Chondrus Crispus Powder,연마제,
원추리꽃추출물,Hemerocallis Fulva Flower Extract,피부컨디셔닝제(기타),
폴리글리세린-3,Polyglycerin-3,피부보습제,1.0
아가,Agar,"결합제, 향료, 점증제-수용성",1.0
타피오카전분,Tapioca Starch;Manihot Utilissima Starch,"점증제-수용성, 벌킹제",
포스포로티오에이트디엔에이-1,Phosphorothioate DNA-1,피부컨디셔닝제(기타),
제충국꽃추출물,Tanacetum Cinerariifolium (Pyrethrum) Flower Extract,착향제,
말굽잔나비버섯추출물,Fomes Officinalis (Mushroom) Extract,피부컨디셔닝제(기타),
히비스커스꽃추출물,Hibiscus Sabdariffa Flower Extract,"세포용해제, 피부컨디셔닝제(기타)",
스피드웰추출물,Veronica Officinalis Extract,피부컨디셔닝제(기타),
하이드롤라이즈드서양자두,Hydrolyzed Prunus Domestica,피부컨디셔닝제(기타),1.0
장미꽃추출물,Rosa Hybrid Flower Extract,,1.0
하이드롤라이즈드보검선인장꽃추출물,Hydrolyzed Opuntia Ficus-Indica Flower Extract,피부보호제,
다이메티콘/페닐비닐다이메티콘크로스폴리머,Dimethicone/Phenyl Vinyl Dimethicone Crosspolymer,점도증가제(비수성),
리보오스,Ribose,"보습제, 피부컨디셔닝제(보습제)",
벤조페논-4,Benzophenone-4,"자외선차단(기능성화장품), 변색방지제",
아이리쉬모스추출물,Chondrus Crispus Extract,피부컨디셔닝제(기타),
케드레롭시스 그레베이껍질추출물,Cedrelopsis Grevei Bark Extract,피부보호제,1.0
소부스싹추출물,Pyrus Sorbus Bud Extract,피부컨디셔닝제(기타),
자색401호,Alizurol Purple;CI 60730,착색제,
부틸옥틸살리실레이트,Butyloctyl Salicylate,"헤어컨디셔닝제, 피부컨디셔닝제, 용제",1.0
프랑스해안송껍질추출물,Pinus Pinaster Bark Extract,산화방지제,
바이오사카라이드검-4,Biosaccharide Gum-4,피부컨디셔닝제,1.0
완두콩추출물,Pisum Sativum (Pea) Seed Extract,피부컨디셔닝제(기타),
티몰트라이메톡시신나메이트,Thymol Trimethoxycinnamate,"산화방지제, 피부보호제",
닥나무뿌리추출물,Broussonetia Kazinoki Root Extract,피부컨디셔닝제(기타),1.0
하이드록시프로필비스라우라마이드엠이에이,Hydroxypropyl Bislauramide MEA,피부유연화제,1.0
아라키딜알코올,Arachidyl Alcohol,"점증제-수용성, 점증제-비수용성, 유화안정제",1.0
다이에톡시다이글라이콜,Diethoxydiglycol,용제,1.0
청색404호,Phthalocyanine Blue;CI 74160,착색제,
펜타소듐에틸렌다이아민테트라메틸렌포스포네이트,Pentasodium Ethylenediamine Tetramethylene Phosphonate,금속이온봉쇄제,1.0
도데센,Dodecene,"착향제, 용제, 점도감소제",1.0
회향잎추출물,Foeniculum Vulgare (Fennel) Leaf Extract,보습제,
계란,Egg,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",1.0
로즈오브예리코추출물,Selaginella Lepidophylla Extract,피부컨디셔닝제(유연제),1.0
복륜산산세비에리아잎추출물,Sansevieria Trifasciata Leaf Extract,피부컨디셔닝제(기타),
아비시니안케일씨오일,Crambe Abyssinica Seed Oil,"모발컨디셔닝제, 수분증발차단제",1.0
육두구추출물,Myristica Fragrans (Nutmeg) Extract,"피부컨디셔닝제, 향료",
효모발효물,Saccharomyces Ferment,,
테르무스 테르모필루스발효물,Thermus Thermophillus Ferment,피부컨디셔닝제,1.0
아이소프로필아이소스테아레이트,Isopropyl Isostearate,"결합제, 피부컨디셔닝제(유연제)",1.0
피이지-8카프릴릭/카프릭글리세라이즈,PEG-8 Caprylic/Capric Glycerides,"피부컨디셔닝제(유연제), 계면활성제(유화제)",
피피지-10세틸에터,PPG-10 Cetyl Ether,피부컨디셔닝제(유연제),1.0
고수씨오일,Coriandrum Sativum (Coriander) Seed Oil,감미제,
라반딘오일,Lavandula Hybrida Oil,착향제,1.0
스클라레올라이드,Sclareolide,"착향제, 피부컨디셔닝제(기타)",1.0
세잎으름줄기추출물,Akebia Trifoliata Stem Extract,피부컨디셔닝제(기타),1.0
봉선화꽃/잎/줄기추출물,Impatiens Balsamina Flower/Leaf/Stem Extract,보습제,
큰매화노루발잎추출물,Chimaphila Umbellata Leaf Extract,피부컨디셔닝제,
쇠뜨기추출물,Equisetum Arvense Extract,피부컨디셔닝제(기타),
바나바잎추출물,Lagerstroemia Speciosa Leaf Extract,피부컨디셔닝제,
굴추출물,Oyster Extract,,
메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀,Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,자외선차단(기능성화장품),
글리세레스-20,Glycereth-20,"피부컨디셔닝제(보습제), 점도감소제",
몰로키아잎추출물,Corchorus Olitorius Leaf Extract,피부컨디셔닝제(기타),1.0
가시오갈피뿌리추출물,Acanthopanax Senticosus (Eleuthero) Root Extract,피부컨디셔닝제(기타),
